时间(s),压力(mmHg)
0.126,0.00
0.222,0.00
0.318,0.00
0.430,0.00
0.526,0.00
0.622,0.00
0.717,0.00
0.829,0.00
0.925,0.00
1.021,0.00
1.119,0.00
1.229,0.00
1.324,0.00
1.420,0.00
1.532,0.00
1.629,0.00
1.724,0.00
1.819,0.00
1.931,0.00
2.028,0.00
2.123,0.00
2.219,0.00
2.331,0.00
2.427,0.00
2.522,0.00
2.618,0.00
2.730,0.00
2.826,0.00
2.921,0.00
3.018,0.00
3.129,0.00
3.225,0.00
3.321,0.00
3.433,0.00
3.528,0.00
3.625,0.00
3.721,0.00
3.833,0.00
3.928,0.00
4.024,0.00
4.120,0.00
4.233,0.00
4.328,0.00
4.423,0.00
4.519,0.00
4.632,0.00
4.727,0.00
4.823,0.00
4.935,0.00
5.031,0.00
5.127,0.00
5.222,0.00
5.334,0.00
5.431,0.00
5.526,0.00
5.622,0.00
5.734,0.00
5.829,0.00
5.926,0.00
6.037,0.00
6.133,0.00
6.230,0.00
6.325,0.00
6.436,0.00
6.532,0.00
6.629,0.00
6.724,0.00
6.836,0.00
6.931,0.00
7.028,0.00
7.124,0.00
7.235,0.00
7.331,0.00
7.428,0.00
7.522,0.00
7.635,0.00
7.730,0.00
7.827,0.00
7.923,0.00
8.034,0.00
8.130,0.00
8.226,0.00
8.337,0.00
8.434,0.00
8.529,0.00
8.626,0.00
8.737,0.00
8.833,0.00
8.929,0.00
9.025,0.00
9.137,0.00
9.233,0.00
9.328,0.00
9.424,0.00
9.536,0.00
9.632,0.00
9.728,0.00
9.823,0.00
9.935,0.00
10.031,0.00
10.127,0.00
10.238,0.00
10.335,0.00
10.431,0.00
10.526,0.00
10.638,0.00
10.735,0.00
10.830,0.00
10.926,0.00
11.038,0.00
11.133,0.00
11.230,0.00
11.326,0.00
11.438,0.00
11.533,0.00
11.629,0.00
11.725,0.00
11.837,0.00
11.933,0.00
12.028,0.00
12.139,0.00
12.236,0.00
12.332,0.00
12.427,0.00
12.539,0.00
12.635,0.00
12.731,0.00
12.827,0.00
12.939,0.00
13.035,0.00
13.130,0.00
13.227,0.00
13.338,0.00
13.434,0.00
13.530,0.00
13.626,0.00
13.737,0.00
13.834,0.00
13.929,0.00
14.041,0.00
14.137,0.00
14.233,0.00
14.329,0.00
14.440,0.00
14.537,0.00
14.633,0.00
14.728,0.00
14.840,0.00
14.935,0.00
15.032,0.00
15.143,0.00
15.239,0.00
15.335,0.00
15.431,0.00
15.542,0.00
15.639,0.00
15.735,0.00
15.830,0.00
15.943,0.00
16.038,0.00
16.134,0.00
16.230,0.00
16.341,0.00
16.438,0.00
16.533,0.00
16.629,0.00
16.741,0.00
16.837,0.00
16.933,0.00
17.029,0.00
17.140,0.00
17.237,0.00
17.331,0.00
17.444,0.00
17.539,0.00
17.636,0.00
17.731,0.00
17.843,0.00
17.939,0.00
18.034,0.00
18.131,0.00
18.243,0.00
18.338,0.00
18.435,0.00
18.530,0.00
18.642,0.00
18.738,0.00
18.833,0.00
18.945,0.00
19.041,0.00
19.137,0.00
19.233,0.00
19.345,0.00
19.441,0.00
19.536,0.00
19.633,0.00
19.745,0.00
19.841,0.00
19.937,0.00
20.032,0.00
20.143,0.00
20.240,0.00
20.336,0.00
20.432,0.00
20.543,0.00
20.639,0.00
20.734,0.00
20.846,0.00
20.942,0.00
21.038,0.00
21.134,0.00
21.246,0.00
21.342,0.00
21.437,0.00
21.533,0.00
21.646,0.00
21.741,0.00
21.837,0.00
21.934,0.00
22.045,0.00
22.142,0.00
22.236,0.00
22.348,0.00
22.444,0.00
22.539,0.00
22.637,0.00
22.747,0.00
22.843,0.00
22.939,0.00
23.035,0.00
23.148,0.00
23.243,0.00
23.338,0.00
23.434,0.00
23.546,0.00
23.643,0.00
23.738,0.00
23.834,0.00
23.946,0.00
24.042,0.00
24.137,0.00
24.234,0.00
24.345,0.00
24.441,0.00
24.536,0.00
24.649,0.00
24.744,0.00
24.840,0.00
24.936,0.00
25.048,0.00
25.144,0.00
25.239,0.00
25.336,0.00
25.447,0.00
25.543,0.00
25.639,0.00
25.735,0.00
25.847,0.00
25.943,0.00
26.039,0.00
26.150,0.00
26.246,0.00
26.342,0.00
26.437,0.00
26.549,0.00
26.646,0.00
26.741,0.00
26.837,0.00
26.949,0.00
27.045,1.00
27.141,12.00
27.237,22.00
27.349,32.00
27.444,41.00
27.540,50.00
27.636,59.00
27.749,67.00
27.844,75.00
27.939,83.00
28.036,91.00
28.150,98.00
28.243,106.00
28.339,113.00
28.450,120.00
28.547,127.00
28.643,133.00
28.739,140.00
28.851,146.00
28.946,153.00
29.041,159.00
29.139,165.00
29.249,171.00
29.345,177.00
29.442,183.00
29.552,188.00
29.649,194.00
29.745,200.00
29.840,205.00
29.952,211.00
30.048,216.00
30.144,221.00
30.240,227.00
30.352,232.00
30.447,237.00
30.544,242.00
30.640,247.00
30.751,253.00
30.847,257.00
30.944,263.00
31.039,270.00
31.151,278.00
31.246,345.00
31.342,349.00
31.439,348.00
31.550,348.00
31.645,347.00
31.742,347.00
31.853,347.00
31.950,347.00
32.045,347.00
32.140,347.00
32.252,347.00
32.349,347.00
32.445,347.00
32.540,347.00
32.652,347.00
32.749,347.00
32.844,347.00
32.939,347.00
33.052,347.00
33.147,347.00
33.243,347.00
33.339,347.00
33.451,347.00
33.547,346.00
33.643,346.00
33.754,347.00
33.851,347.00
33.947,347.00
34.043,347.00
34.153,347.00
34.250,347.00
34.346,348.00
34.441,348.00
