时间(s),压力(mmHg)
0.024,0.00
0.120,0.00
0.216,0.00
0.312,0.00
0.423,0.00
0.520,0.00
0.615,0.00
0.727,0.00
0.822,0.00
0.919,0.00
1.015,0.00
1.126,0.00
1.223,0.00
1.319,0.00
1.414,0.00
1.526,0.00
1.621,0.00
1.718,0.00
1.814,0.00
1.925,0.00
2.021,0.00
2.116,0.00
2.228,0.00
2.324,0.00
2.420,0.00
2.516,0.00
2.627,0.00
2.724,0.00
2.819,0.00
2.915,0.00
3.027,0.00
3.123,223.00
3.220,383.00
3.315,389.00
3.428,389.00
3.523,388.00
3.618,388.00
3.715,387.00
3.826,388.00
3.922,387.00
4.018,387.00
4.114,388.00
4.226,389.00
4.322,389.00
4.418,389.00
4.528,389.00
4.625,388.00
4.720,388.00
4.817,388.00
4.928,388.00
5.025,388.00
5.121,388.00
5.216,388.00
5.328,388.00
5.424,387.00
5.520,387.00
5.616,387.00
5.728,387.00
5.824,387.00
5.919,387.00
6.015,386.00
6.127,385.00
6.223,385.00
6.319,384.00
6.414,384.00
6.526,384.00
6.622,383.00
6.718,383.00
6.829,383.00
6.926,383.00
7.022,384.00
7.117,383.00
7.229,383.00
7.325,383.00
7.421,17.00
7.516,0.00
7.628,0.00
7.725,0.00
7.820,0.00
7.916,0.00
8.028,0.00
8.123,0.00
8.220,0.00
8.315,0.00
8.427,0.00
8.524,0.00
8.619,0.00
8.730,0.00
8.827,0.00
8.923,0.00
9.019,0.00
9.131,0.00
9.226,0.00
9.322,0.00
9.418,0.00
9.530,0.00
9.625,0.00
9.722,0.00
9.817,0.00
9.929,0.00
10.025,0.00
10.121,0.00
10.217,0.00
10.328,0.00
10.424,0.00
10.520,0.00
10.616,0.00
10.728,0.00
10.824,0.00
10.920,0.00
11.031,0.00
11.127,0.00
11.224,0.00
11.320,0.00
11.430,0.00
11.527,0.00
11.623,0.00
11.719,0.00
11.830,0.00
11.926,0.00
12.022,0.00
12.118,0.00
12.229,0.00
12.326,0.00
12.421,0.00
12.517,0.00
12.629,0.00
12.725,0.00
12.820,0.00
12.932,0.00
13.028,0.00
13.124,0.00
13.220,0.00
13.332,0.00
13.427,0.00
13.523,0.00
13.620,0.00
13.731,0.00
13.827,0.00
13.924,0.00
14.019,0.00
14.131,0.00
14.226,0.00
14.322,0.00
14.417,0.00
14.530,0.00
14.626,0.00
14.722,0.00
14.833,0.00
14.930,0.00
15.025,0.00
15.121,0.00
15.232,0.00
15.329,0.00
15.424,0.00
15.520,0.00
15.632,0.00
15.728,0.00
15.824,0.00
15.920,0.00
16.032,0.00
16.128,0.00
16.224,0.00
16.319,0.00
16.431,0.00
16.528,0.00
16.623,0.00
16.719,0.00
16.830,0.00
16.926,0.00
17.023,0.00
17.134,0.00
17.230,0.00
17.326,0.00
17.422,0.00
17.533,0.00
17.629,0.00
17.725,0.00
17.821,0.00
17.933,0.00
18.029,0.00
18.125,0.00
18.220,0.00
18.332,0.00
18.428,0.00
18.524,0.00
18.620,0.00
18.732,0.00
18.827,0.00
18.923,0.00
19.035,0.00
19.131,0.00
19.227,0.00
