时间(s),压力(mmHg)
0.025,0.00
0.122,0.00
0.217,0.00
0.313,0.00
0.425,0.00
0.520,0.00
0.616,0.00
0.712,0.00
0.824,0.00
0.920,0.00
1.016,0.00
1.112,0.00
1.223,0.00
1.319,0.00
1.416,0.00
1.511,0.00
1.623,0.00
1.719,0.00
1.815,0.00
1.926,0.00
2.023,0.00
2.118,0.00
2.214,0.00
2.327,0.00
2.422,0.00
2.517,0.00
2.613,0.00
2.725,0.00
2.821,0.00
2.919,0.00
3.013,0.00
3.125,0.00
3.221,0.00
3.318,0.00
3.414,0.00
3.524,0.00
3.621,0.00
3.716,0.00
3.812,0.00
3.924,0.00
4.020,0.00
4.115,0.00
4.227,0.00
4.323,0.00
4.419,0.00
4.515,0.00
4.627,0.00
4.723,0.00
4.819,0.00
4.914,0.00
5.026,0.00
5.122,0.00
5.218,0.00
5.314,0.00
5.426,0.00
5.521,0.00
5.617,0.00
5.713,0.00
5.825,0.00
5.921,0.00
6.016,0.00
6.128,0.00
6.224,0.00
6.320,0.00
6.416,0.00
6.527,0.00
6.623,0.00
6.719,0.00
6.815,0.00
6.927,0.00
7.023,0.00
7.119,0.00
7.215,0.00
7.326,0.00
7.423,0.00
7.518,0.00
7.614,0.00
7.725,0.00
7.822,0.00
7.917,0.00
8.013,0.00
8.125,0.00
8.221,0.00
8.317,0.00
8.428,0.00
8.524,0.00
8.620,0.00
8.716,0.00
8.828,0.00
8.924,0.00
9.020,0.00
9.117,0.00
9.228,0.00
9.324,0.00
9.419,0.00
9.515,0.00
9.626,0.00
9.723,0.00
9.819,0.00
9.915,0.00
10.027,0.00
10.122,0.00
10.218,0.00
10.314,0.00
10.425,0.00
10.521,1.00
10.618,1.00
10.714,1.00
10.826,1.00
10.921,1.00
11.017,1.00
11.128,1.00
11.225,1.00
11.321,1.00
11.416,1.00
11.528,2.00
11.624,2.00
11.720,1.00
11.816,2.00
11.928,2.00
12.023,2.00
12.120,2.00
12.215,2.00
12.327,2.00
12.423,2.00
12.518,2.00
12.614,2.00
12.727,2.00
12.822,2.00
12.918,2.00
13.014,2.00
13.126,2.00
13.221,2.00
13.317,2.00
13.429,2.00
13.525,2.00
13.622,2.00
13.717,2.00
13.828,2.00
13.924,2.00
14.020,2.00
14.116,2.00
14.229,2.00
14.324,2.00
14.419,2.00
14.516,2.00
14.628,2.00
14.723,2.00
14.819,2.00
14.915,2.00
15.027,2.00
15.123,2.00
15.218,2.00
15.315,2.00
15.426,2.00
15.521,3.00
15.618,2.00
15.714,3.00
15.826,3.00
15.922,3.00
16.017,3.00
16.129,3.00
16.225,3.00
16.321,3.00
16.417,3.00
16.529,3.00
16.624,3.00
16.720,3.00
16.816,3.00
16.928,3.00
17.024,3.00
17.119,3.00
17.215,3.00
17.327,3.00
17.423,3.00
17.519,3.00
17.630,4.00
17.727,4.00
17.822,4.00
17.919,4.00
18.030,4.00
18.126,4.00
18.222,4.00
18.318,4.00
18.430,5.00
18.526,5.00
18.622,5.00
18.717,5.00
18.828,5.00
18.924,5.00
19.021,6.00
19.117,6.00
19.228,6.00
19.324,6.00
19.420,6.00
19.516,7.00
19.628,7.00
19.724,7.00
19.820,8.00
19.915,8.00
20.028,8.00
20.123,9.00
20.219,9.00
20.330,9.00
20.427,10.00
20.523,10.00
20.619,11.00
20.730,12.00
20.826,12.00
20.921,13.00
21.018,14.00
21.130,14.00
21.226,15.00
21.321,16.00
21.417,17.00
21.529,17.00
21.626,18.00
21.721,19.00
21.816,20.00
21.929,21.00
22.024,22.00
22.120,23.00
22.231,25.00
22.328,26.00
22.424,27.00
22.519,28.00
22.632,29.00
22.727,30.00
22.823,32.00
22.919,33.00
23.030,34.00
23.127,35.00
23.223,37.00
23.334,38.00
23.430,39.00
23.526,40.00
23.622,42.00
23.734,43.00
23.830,44.00
23.925,45.00
24.022,47.00
24.133,48.00
24.230,49.00
24.325,51.00
24.420,52.00
24.533,53.00
24.629,55.00
24.725,56.00
24.821,57.00
24.931,58.00
25.028,60.00
