时间(s),压力(mmHg)
0.199,0.04
0.406,0.08
0.600,0.04
0.798,0.04
1.005,0.03
1.199,0.03
1.398,0.11
1.604,0.02
1.800,0.04
1.999,0.03
2.205,0.07
2.400,0.09
2.599,0.06
2.805,0.03
2.999,0.06
3.198,0.03
3.404,0.03
3.599,0.03
3.799,0.06
4.005,0.04
4.199,0.11
4.398,0.02
4.604,0.07
4.799,0.06
4.999,0.05
5.204,0.04
5.400,0.07
5.599,0.05
5.804,0.09
5.999,0.07
6.199,0.05
6.404,0.06
6.600,0.03
6.798,0.05
7.004,0.09
7.200,0.07
7.398,0.08
7.605,0.07
7.799,0.05
7.998,0.05
8.205,0.09
8.399,0.06
8.599,0.08
8.806,0.10
8.999,0.07
9.198,0.06
9.404,0.03
9.600,0.10
9.797,0.06
10.004,0.11
10.200,0.04
10.398,0.08
10.605,0.07
10.800,0.07
10.998,0.12
11.204,0.06
11.399,0.09
11.598,0.08
11.804,0.05
11.999,0.07
12.197,0.09
12.404,0.05
12.599,0.08
12.798,0.07
13.003,0.06
13.200,0.07
13.398,0.07
13.604,0.08
13.799,0.08
13.999,0.08
14.205,0.07
14.399,0.06
14.598,0.09
14.804,0.09
15.000,0.07
15.198,0.06
15.404,0.83
15.600,2.01
15.798,2.36
16.004,3.75
16.200,6.01
16.397,8.86
16.604,12.50
16.799,16.76
16.998,21.64
17.204,27.93
17.399,34.70
17.598,42.08
17.804,50.61
17.998,59.25
18.198,68.31
18.403,78.09
18.599,87.16
18.797,95.98
19.004,105.20
19.244,115.60
19.440,123.87
19.638,132.06
19.843,140.82
20.039,148.71
20.237,156.42
20.444,164.78
20.639,172.23
20.839,179.56
21.043,187.47
21.239,194.72
21.437,201.79
21.645,209.40
21.839,216.27
22.038,223.06
22.243,230.15
22.441,236.62
22.638,242.94
22.844,249.61
23.039,255.76
23.237,261.65
23.444,267.97
23.639,273.77
23.837,279.50
24.044,285.47
24.239,291.01
24.436,296.27
24.644,302.00
24.839,307.12
25.038,312.20
25.243,317.58
25.440,322.46
25.638,327.32
25.844,332.35
26.039,337.01
26.237,341.42
26.443,346.22
26.639,348.75
26.836,349.30
27.043,349.66
27.239,349.69
27.437,349.67
27.644,349.85
27.839,349.92
28.037,349.93
28.243,349.68
28.439,349.86
28.638,349.90
28.843,349.71
29.039,349.96
29.237,349.84
29.444,350.00
29.639,349.98
29.837,349.81
30.044,349.77
30.240,349.89
30.437,349.76
30.644,349.85
30.839,349.88
31.037,349.82
31.243,349.83
31.438,349.85
31.637,349.84
31.844,349.77
32.038,349.85
32.237,349.81
32.443,349.86
32.638,349.85
32.837,349.87
33.044,349.84
33.239,349.93
33.436,349.86
33.644,349.89
33.839,349.88
34.037,349.86
34.244,349.96
34.438,349.86
34.637,349.87
34.843,349.96
35.039,349.86
35.237,349.91
35.444,349.79
35.638,349.87
35.837,349.89
36.043,349.84
36.238,349.90
36.437,349.88
36.644,350.15
36.839,350.07
37.036,349.99
37.243,349.93
37.438,349.97
37.638,349.91
37.843,349.90
38.038,349.86
38.236,349.86
38.444,349.98
38.638,349.88
38.837,349.88
39.043,349.84
39.239,349.86
39.436,349.86
39.643,349.86
39.840,349.85
40.036,349.93
40.243,349.87
40.438,349.82
40.637,349.92
40.843,349.90
41.039,349.84
41.237,349.83
41.443,349.78
41.639,349.87
41.836,349.89
42.044,349.84
42.238,348.69
42.437,334.12
42.643,307.05
42.839,277.23
43.037,243.61
43.243,204.07
43.438,165.62
43.636,130.00
43.844,97.84
44.083,68.58
44.278,50.23
44.477,36.26
44.683,25.40
44.879,18.46
45.076,13.59
45.283,10.13
45.479,7.92
45.676,6.34
45.883,5.06
46.078,4.21
46.276,3.59
