时间(s),压力(mmHg)
0.190,0.00
0.302,0.00
0.398,0.00
0.494,0.00
0.590,0.00
0.702,0.00
0.797,0.00
0.893,0.00
0.989,0.00
1.101,0.00
1.196,0.00
1.293,0.00
0.009,0.00
0.121,0.00
0.216,0.00
0.312,0.00
0.424,0.00
0.520,0.00
0.616,0.00
0.712,0.00
0.823,0.00
0.919,0.00
1.016,0.00
1.111,0.00
1.223,0.00
1.319,0.00
1.415,0.00
1.511,0.00
1.623,0.00
0.009,0.00
0.121,0.00
0.217,0.00
0.312,0.00
0.409,0.00
0.521,0.00
0.617,0.00
0.712,0.00
0.019,0.00
0.114,0.00
0.226,0.00
0.322,0.00
0.417,0.00
0.513,0.00
0.626,0.00
0.721,0.00
0.817,0.00
0.912,0.00
1.025,0.00
1.120,0.00
1.217,0.00
1.312,0.00
1.424,0.00
1.520,0.00
1.616,0.00
1.728,0.00
1.824,0.00
1.920,0.00
2.015,0.00
2.127,0.00
2.223,0.00
2.319,0.00
2.414,0.00
2.527,0.00
2.622,0.00
2.718,0.00
2.814,0.00
2.925,0.00
3.021,0.00
3.118,213.00
3.229,346.00
3.326,346.00
3.421,345.00
3.517,344.00
3.628,344.00
3.726,344.00
3.821,343.00
3.916,343.00
4.028,342.00
4.124,342.00
4.220,341.00
4.316,340.00
4.427,340.00
4.524,339.00
4.620,338.00
4.715,337.00
4.827,329.00
4.923,293.00
5.019,281.00
5.115,277.00
5.227,275.00
5.322,274.00
5.418,273.00
5.514,273.00
5.626,273.00
5.722,272.00
5.817,272.00
5.929,272.00
6.026,271.00
6.122,271.00
6.217,271.00
6.328,270.00
6.425,270.00
6.521,270.00
6.616,269.00
6.728,269.00
6.825,269.00
6.920,269.00
7.015,269.00
7.128,269.00
7.223,269.00
7.320,270.00
7.415,269.00
7.528,269.00
7.623,269.00
7.719,268.00
7.815,268.00
7.926,267.00
8.023,267.00
8.118,267.00
8.214,267.00
8.326,267.00
8.421,266.00
8.518,266.00
8.629,266.00
8.726,265.00
8.821,265.00
8.917,266.00
9.028,265.00
9.125,263.00
9.221,262.00
9.316,262.00
9.429,261.00
9.525,261.00
9.621,261.00
9.716,261.00
9.827,260.00
9.923,260.00
10.020,260.00
10.115,260.00
10.227,259.00
10.323,259.00
10.418,259.00
10.516,259.00
10.626,258.00
10.722,258.00
10.818,258.00
10.929,258.00
11.027,259.00
11.122,259.00
11.218,259.00
11.329,259.00
11.426,258.00
11.522,258.00
11.618,257.00
11.728,258.00
11.825,257.00
11.921,257.00
12.016,256.00
12.128,256.00
12.225,256.00
12.320,256.00
12.416,256.00
12.528,255.00
12.623,255.00
12.720,255.00
12.815,255.00
12.927,254.00
13.023,254.00
13.119,254.00
13.215,254.00
13.326,254.00
13.422,253.00
13.518,253.00
13.629,253.00
13.727,253.00
13.821,253.00
13.918,253.00
14.030,252.00
14.125,252.00
14.222,252.00
14.318,252.00
14.429,252.00
14.524,252.00
14.620,251.00
14.732,251.00
14.829,251.00
14.924,251.00
15.021,251.00
15.131,251.00
15.228,250.00
15.324,250.00
15.420,250.00
15.531,250.00
15.627,250.00
15.723,250.00
15.818,249.00
15.931,249.00
16.026,249.00
16.122,249.00
16.219,249.00
16.330,249.00
16.426,248.00
16.522,248.00
16.617,248.00
16.730,248.00
16.825,248.00
16.921,247.00
17.017,247.00
17.128,247.00
17.225,247.00
17.321,247.00
17.432,247.00
17.528,246.00
17.624,246.00
17.720,246.00
