时间(s),压力(mmHg)
0.016,0.03
0.207,0.02
0.411,0.02
0.607,0.09
0.805,0.08
1.012,0.04
1.207,0.08
1.406,0.09
1.612,0.09
1.806,0.06
2.006,0.12
2.211,0.09
2.406,0.10
2.605,0.08
2.813,0.08
3.009,0.08
3.204,0.09
3.411,0.05
3.607,0.09
3.806,0.07
4.013,0.05
4.207,0.09
4.406,0.10
4.612,0.07
4.806,0.07
5.006,0.12
5.212,0.08
5.406,0.05
5.604,0.09
5.813,0.10
6.008,0.09
6.204,0.11
6.412,0.09
6.607,0.07
6.805,0.10
7.012,0.10
7.207,0.09
7.405,0.06
7.611,0.13
7.806,0.10
8.004,0.11
8.212,0.08
8.407,0.07
8.605,0.07
8.815,0.10
9.010,0.11
9.206,0.08
9.412,0.05
9.607,0.05
9.806,0.07
10.013,0.65
10.205,1.19
10.406,1.47
10.610,1.32
10.806,1.31
11.004,0.80
11.212,2.20
11.407,3.66
11.604,7.60
11.812,10.65
12.053,14.20
12.247,17.39
12.445,20.79
12.651,22.63
12.848,22.86
13.045,22.93
13.251,22.93
13.448,22.97
13.645,22.92
13.851,22.95
14.047,23.04
14.245,22.98
14.452,23.00
14.647,22.98
14.845,23.01
15.052,22.94
15.246,22.99
15.445,23.00
15.651,23.00
15.847,22.98
16.046,23.04
16.251,23.07
16.448,22.95
16.645,22.97
16.851,23.01
17.045,22.99
17.246,22.99
17.452,22.99
17.648,23.05
17.845,22.98
18.051,23.04
18.246,23.08
18.446,23.02
18.651,22.99
18.847,22.96
19.045,22.97
19.250,23.01
19.446,22.99
19.646,23.03
19.851,22.97
20.045,23.00
20.245,23.00
20.451,23.00
20.645,23.01
20.845,23.08
21.051,23.01
21.245,23.08
21.444,23.08
21.650,23.04
21.846,23.07
22.046,23.06
22.251,23.03
22.447,23.02
22.646,23.01
22.852,23.01
23.045,22.97
23.244,23.04
23.452,23.04
23.648,23.04
23.844,23.02
24.051,23.02
24.247,23.00
24.445,22.98
24.651,23.00
24.847,23.05
25.045,23.05
25.251,23.02
25.445,23.03
25.646,23.08
25.853,23.02
26.046,23.02
26.244,23.04
26.452,23.09
26.647,23.02
26.845,23.00
27.050,22.99
27.247,23.08
27.445,23.03
27.651,23.02
27.845,23.08
28.046,27.07
28.251,33.04
28.446,38.81
28.643,44.71
28.852,50.34
29.047,50.85
29.243,50.81
29.452,50.98
29.646,50.91
29.845,50.94
30.051,50.98
30.246,50.90
30.446,50.94
30.651,50.95
30.846,50.95
31.046,50.97
31.251,50.89
31.447,50.97
31.643,50.93
31.852,50.99
32.046,50.97
32.245,50.99
32.451,50.97
32.645,50.96
32.844,50.96
33.052,51.00
33.245,51.00
33.445,50.96
33.652,50.98
33.845,51.02
34.043,51.02
34.251,50.99
34.446,51.00
34.645,51.00
34.849,51.01
35.046,51.00
35.245,50.96
35.452,50.93
35.645,50.99
35.845,50.98
36.054,50.99
36.245,51.02
36.446,51.01
36.652,51.04
36.848,51.00
37.044,51.02
37.253,50.97
37.448,51.02
37.643,51.02
37.853,51.00
38.046,50.97
38.244,50.98
38.452,50.98
38.646,51.01
38.845,51.03
39.051,51.01
39.245,51.01
39.444,50.97
39.653,50.98
39.846,50.98
40.044,50.98
40.254,50.97
40.452,50.97
40.643,50.95
40.851,51.00
41.045,51.01
41.244,51.00
41.450,51.04
41.645,50.99
41.844,50.98
42.051,50.99
42.244,50.98
42.443,50.96
42.651,51.00
42.844,51.01
43.042,50.97
43.251,51.00
43.445,51.03
43.643,51.04
43.851,51.01
44.044,51.00
44.243,56.67
44.451,64.71
44.644,72.33
44.843,79.64
45.051,87.23
45.244,89.65
45.444,89.75
45.652,89.82
45.844,89.86
46.042,89.87
46.252,89.89
46.444,89.92
46.643,89.87
46.850,89.91
47.044,89.95
47.243,89.96
47.450,89.92
47.644,89.94
47.843,89.95
48.049,89.95
48.244,89.93
48.442,89.87
48.650,89.96
48.844,89.95
49.043,89.93
49.248,89.98
49.446,89.93
49.643,89.97
49.849,89.95
50.045,89.92
50.244,89.90
50.449,89.97
50.644,89.97
50.843,89.98
51.050,89.94
51.244,89.97
51.444,89.98
51.650,90.00
51.844,89.98
52.042,89.96
52.249,89.98
52.444,90.04
52.642,90.00
52.849,89.96
53.044,89.94
53.243,89.94
53.449,89.97
53.644,89.98
53.842,90.01
54.050,89.96
54.243,89.97
54.444,89.96
54.649,89.97
54.844,89.92
55.043,89.94
55.250,89.91
55.444,90.02
55.644,89.94
55.849,89.92
56.043,89.96
56.243,89.93
56.449,89.95
56.644,89.98
56.842,89.96
57.049,89.98
57.243,89.98
57.443,89.92
57.650,89.94
57.844,89.92
58.043,89.90
58.250,89.95
58.444,89.96
58.642,89.99
58.848,89.99
59.044,89.94
59.242,89.95
59.448,89.98
59.644,89.95
59.842,89.95
60.050,89.97
60.243,89.95
60.442,92.59
60.649,100.66
60.889,110.14
61.083,117.43
0.036,119.64
0.242,119.79
0.438,119.80
0.636,119.81
0.842,119.84
1.038,119.84
1.236,119.81
1.442,119.83
1.637,119.90
1.836,119.80
