时间(s),压力(mmHg)
0.027,0.00
0.123,0.00
0.219,0.00
0.314,0.00
0.427,0.00
0.522,0.00
0.618,0.00
0.714,0.00
0.826,0.00
0.921,0.00
1.018,0.00
1.129,0.00
1.225,0.00
1.321,0.00
1.416,0.00
1.528,0.00
1.624,0.00
1.720,0.00
1.817,0.00
1.928,0.00
2.024,0.00
2.119,0.00
2.215,0.00
2.328,0.00
2.423,0.00
2.519,0.00
2.615,0.00
2.726,0.00
2.823,0.00
2.918,0.00
3.029,0.00
3.126,0.00
3.222,0.00
3.318,0.00
3.429,0.00
3.525,0.00
3.621,0.00
3.717,0.00
3.829,0.00
3.925,0.00
4.021,0.00
4.117,0.00
4.229,0.00
4.324,0.00
4.420,0.00
4.516,1.00
4.627,1.00
4.724,1.00
4.819,1.00
4.915,1.00
5.029,1.00
5.123,1.00
5.219,1.00
5.330,1.00
5.426,1.00
5.523,1.00
5.619,1.00
5.729,1.00
5.826,1.00
5.921,1.00
6.018,1.00
6.129,1.00
6.226,1.00
6.321,1.00
6.417,1.00
6.529,1.00
6.625,1.00
6.720,1.00
6.817,1.00
6.929,1.00
7.024,1.00
7.120,1.00
7.231,1.00
7.328,1.00
7.424,1.00
7.519,1.00
7.631,1.00
7.728,1.00
7.823,1.00
7.918,2.00
8.031,2.00
8.126,2.00
8.223,2.00
8.318,2.00
8.430,2.00
8.526,2.00
8.621,2.00
8.717,2.00
8.830,2.00
8.926,2.00
9.021,2.00
9.117,2.00
9.229,2.00
9.325,2.00
9.421,2.00
9.532,2.00
9.629,2.00
9.724,2.00
9.820,2.00
9.931,2.00
10.028,2.00
10.123,2.00
10.219,2.00
10.332,2.00
10.427,2.00
10.523,2.00
10.619,2.00
10.730,2.00
10.827,2.00
10.923,2.00
11.019,2.00
11.129,2.00
11.226,3.00
11.322,3.00
11.417,3.00
11.529,3.00
11.625,2.00
11.721,3.00
11.817,3.00
11.928,3.00
12.025,3.00
12.122,3.00
12.232,3.00
12.328,3.00
12.424,3.00
12.519,3.00
12.631,3.00
12.727,3.00
12.823,3.00
12.920,3.00
13.033,3.00
13.127,3.00
13.222,3.00
13.318,3.00
13.431,4.00
13.526,4.00
13.622,4.00
13.734,4.00
13.829,4.00
13.926,4.00
14.021,4.00
14.134,4.00
14.229,5.00
14.325,5.00
14.421,5.00
14.532,5.00
14.628,5.00
14.725,6.00
14.821,6.00
14.932,6.00
15.028,6.00
15.124,6.00
15.220,7.00
15.332,7.00
15.427,7.00
15.523,8.00
15.619,8.00
15.731,8.00
15.827,9.00
15.923,9.00
16.034,9.00
16.130,10.00
16.226,10.00
16.322,11.00
16.434,11.00
16.530,12.00
16.626,12.00
16.722,13.00
16.833,13.00
16.929,14.00
17.025,15.00
17.121,15.00
17.232,16.00
17.329,17.00
17.424,18.00
17.520,18.00
17.633,19.00
17.727,20.00
17.824,21.00
17.920,21.00
18.031,21.00
18.127,22.00
18.223,22.00
18.334,22.00
18.431,22.00
18.526,22.00
18.623,23.00
18.735,22.00
18.830,23.00
18.926,23.00
19.021,23.00
19.134,23.00
19.230,23.00
19.325,22.00
19.422,23.00
19.534,23.00
19.628,23.00
19.725,23.00
19.820,23.00
19.932,23.00
20.029,23.00
20.124,23.00
20.220,23.00
20.332,23.00
20.427,23.00
20.523,23.00
20.635,23.00
20.732,23.00
20.827,23.00
20.923,23.00
21.034,23.00
21.131,23.00
21.227,23.00
21.322,23.00
21.434,23.00
21.530,23.00
21.625,23.00
21.721,23.00
21.834,23.00
21.929,23.00
22.025,23.00
22.121,23.00
22.234,23.00
22.329,23.00
22.424,23.00
22.520,23.00
22.632,23.00
22.728,23.00
22.824,23.00
22.935,23.00
23.031,23.00
23.128,23.00
23.223,23.00
23.335,23.00
23.431,23.00
23.527,23.00
23.623,23.00
23.734,23.00
23.831,23.00
23.926,23.00
24.022,23.00
24.134,23.00
24.230,23.00
24.325,23.00
24.422,23.00
24.533,23.00
24.629,23.00
24.725,23.00
24.836,23.00
24.933,23.00
25.028,23.00
25.125,23.00
25.236,23.00
25.332,23.00
25.428,23.00
25.524,23.00
25.636,23.00
25.731,23.00
25.828,23.00
25.923,23.00
26.035,23.00
26.132,23.00
26.226,23.00
26.322,23.00
26.434,23.00
26.531,23.00
26.626,23.00
26.722,23.00
26.834,23.00
26.929,23.00
27.025,23.00
27.137,23.00
27.233,23.00
27.329,23.00
27.425,23.00
27.536,23.00
27.633,23.00
27.729,23.00
27.824,23.00
27.936,23.00
28.032,23.00
28.128,23.00
28.224,23.00
28.335,23.00
28.431,23.00
28.527,23.00
28.623,23.00
28.734,23.00
28.831,23.00
28.927,23.00
29.038,23.00
29.135,23.00
29.231,23.00
29.326,23.00
29.437,23.00
29.533,23.00
29.629,23.00
29.725,23.00
29.837,23.00
29.933,23.00
30.029,23.00
30.125,23.00
30.237,23.00
30.333,23.00
30.428,23.00
30.524,23.00
30.636,23.00
30.732,23.00
30.828,23.00
30.923,23.00
31.035,23.00
31.131,23.00
31.227,23.00
31.323,23.00
31.435,23.00
31.530,23.00
31.626,23.00
31.738,23.00
31.834,23.00
31.930,23.00
32.025,23.00
32.138,23.00
32.233,23.00
32.330,23.00
32.425,23.00
32.537,23.00
32.633,23.00
32.729,23.00
32.825,23.00
32.937,23.00
33.032,23.00
33.128,23.00
33.223,23.00
33.336,23.00
33.432,23.00
33.528,23.00
33.624,23.00
33.736,25.00
33.831,27.00
33.927,28.00
34.038,30.00
34.135,31.00
34.230,32.00
34.326,34.00
34.438,35.00
34.535,36.00
34.630,38.00
34.726,39.00
34.838,40.00
34.933,41.00
35.030,43.00
35.125,44.00
35.237,45.00
35.333,46.00
35.429,48.00
35.525,49.00
35.636,50.00
35.732,51.00
35.828,51.00
35.924,51.00
36.036,51.00
36.132,52.00
36.227,52.00
36.339,52.00
36.435,52.00
36.531,52.00
36.627,52.00
36.738,52.00
36.834,52.00
36.930,52.00
37.026,52.00
37.138,52.00
37.234,52.00
37.330,52.00
37.425,52.00
37.538,52.00
37.633,52.00
37.730,52.00
37.825,52.00
37.937,52.00
38.033,52.00
38.129,52.00
38.224,52.00
38.336,52.00
38.432,52.00
38.528,52.00
38.624,52.00
38.735,52.00
38.832,52.00
38.927,52.00
39.039,52.00
39.135,52.00
39.231,52.00
39.327,52.00
39.438,52.00
39.535,52.00
39.630,52.00
39.726,52.00
39.838,52.00
39.934,52.00
40.030,52.00
40.125,52.00
40.237,52.00
40.333,52.00
40.429,52.00
40.525,52.00
40.637,52.00
40.733,52.00
40.828,52.00
40.940,52.00
41.036,52.00
41.133,52.00
41.228,52.00
41.339,52.00
41.435,52.00
41.532,52.00
41.627,52.00
41.739,52.00
41.836,52.00
41.931,52.00
42.026,52.00
42.139,52.00
42.235,52.00
42.330,52.00
42.427,52.00
42.538,52.00
42.634,52.00
42.730,52.00
42.826,52.00
42.937,52.00
43.033,52.00
43.130,52.00
43.240,52.00
43.337,52.00
43.433,52.00
43.528,52.00
43.640,52.00
43.736,52.00
43.832,52.00
43.927,52.00
44.040,52.00
44.135,52.00
44.232,52.00
44.327,52.00
44.439,52.00
44.535,52.00
44.631,52.00
44.727,52.00
44.839,52.00
44.935,52.00
45.030,52.00
45.141,52.00
45.238,52.00
45.334,52.00
45.429,52.00
45.541,52.00
45.638,52.00
45.733,52.00
45.829,52.00
45.941,52.00
46.037,52.00
46.132,52.00
46.228,52.00
46.340,52.00
46.436,52.00
46.532,52.00
46.628,52.00
46.740,52.00
46.835,52.00
46.931,52.00
47.043,52.00
47.139,52.00
47.234,52.00
47.331,52.00
47.442,52.00
47.539,52.00
47.635,52.00
47.730,52.00
47.842,52.00
47.938,52.00
48.034,52.00
48.130,52.00
48.242,52.00
48.338,52.00
48.433,52.00
48.778,52.00
48.862,52.00
48.862,52.00
48.862,52.00
48.928,52.00
49.040,52.00
49.137,52.00
49.232,52.00
49.328,52.00
49.440,52.00
49.536,52.00
49.631,52.00
49.743,52.00
49.839,52.00
49.934,52.00
50.030,52.00
50.142,52.00
50.239,52.00
50.334,52.00
50.430,52.00
50.542,52.00
50.638,52.00
50.734,52.00
50.830,52.00
50.941,52.00
51.037,52.00
51.133,52.00
51.228,54.00
51.341,56.00
51.436,58.00
51.532,59.00
51.628,61.00
51.740,63.00
51.836,64.00
51.932,66.00
52.043,67.00
52.139,69.00
52.235,70.00
52.331,72.00
52.443,73.00
52.539,74.00
52.635,76.00
52.731,77.00
52.842,79.00
52.938,80.00
53.034,81.00
53.129,83.00
53.241,84.00
53.338,85.00
53.433,86.00
53.544,88.00
53.641,89.00
53.736,90.00
53.832,91.00
53.944,91.00
54.041,92.00
54.136,92.00
54.232,92.00
54.344,92.00
54.440,92.00
54.536,92.00
54.632,92.00
54.743,92.00
54.839,92.00
54.992,93.00
55.031,92.00
55.143,92.00
55.239,92.00
55.334,92.00
55.430,93.00
55.542,92.00
55.638,92.00
55.733,92.00
