时间(s),压力(mmHg)
0.027,-0.18
0.267,0.08
0.466,0.08
0.672,0.06
0.867,0.05
1.065,0.08
1.272,0.07
1.467,0.07
1.665,0.08
1.872,0.07
2.067,0.05
2.265,0.08
2.472,0.06
2.667,0.06
2.866,0.06
3.074,0.09
3.313,0.29
3.507,2.44
3.706,3.40
3.912,4.35
4.106,5.77
4.306,7.83
4.512,11.04
4.752,15.72
4.947,20.37
5.145,25.98
5.352,32.96
5.546,40.18
5.745,47.85
5.952,56.81
6.147,65.64
6.345,74.64
6.552,84.14
6.747,92.95
6.945,101.62
7.152,110.72
7.347,118.96
7.546,127.12
7.752,135.77
7.947,143.62
8.145,151.33
8.352,159.50
8.547,167.02
8.745,174.43
8.952,182.22
9.147,189.47
9.345,196.56
9.552,204.05
9.747,210.98
9.945,217.81
10.152,224.92
10.348,231.34
10.545,237.72
10.752,244.44
10.946,250.56
11.146,256.64
11.351,262.95
11.547,268.76
11.745,274.54
11.952,280.64
12.147,286.17
12.345,291.63
12.552,297.30
12.747,302.54
12.945,307.71
13.151,313.08
13.346,317.94
13.545,322.66
13.752,327.88
13.946,332.53
14.145,337.00
14.351,341.85
14.546,346.19
14.745,348.75
14.951,349.40
15.146,349.64
15.345,349.73
15.551,349.84
15.747,349.59
15.945,349.78
16.151,349.99
16.346,349.70
16.545,349.78
16.751,349.71
16.947,349.64
17.145,349.97
17.352,349.78
17.547,349.76
17.745,349.73
17.952,349.80
18.147,349.88
18.345,349.76
18.551,349.98
18.747,349.79
18.945,349.75
19.152,349.87
19.346,349.80
19.545,349.85
19.751,349.80
19.946,349.82
20.145,349.79
20.352,349.79
20.547,349.82
20.744,349.75
20.951,350.13
21.147,350.10
21.345,349.93
21.551,349.97
21.747,349.85
21.945,349.86
22.151,349.84
22.347,349.92
22.545,349.91
22.751,349.81
22.946,349.86
23.145,349.80
23.352,349.83
23.547,349.85
23.745,349.90
23.951,349.86
24.147,349.81
24.345,349.82
24.550,349.81
24.747,349.89
24.945,349.84
25.150,349.84
25.347,349.89
25.545,349.83
25.751,349.82
25.946,350.00
26.145,349.89
26.351,349.83
26.547,349.81
26.744,349.85
26.950,349.86
27.147,349.84
27.345,349.93
27.551,349.87
27.746,349.81
27.945,349.79
28.151,349.86
28.346,349.84
28.544,349.80
28.751,349.85
28.945,349.88
29.144,349.89
29.350,349.83
29.546,349.86
29.744,350.12
29.951,350.00
30.146,338.71
30.345,314.89
30.551,283.88
30.746,251.06
30.945,215.07
31.151,173.86
31.345,137.36
31.544,106.13
31.750,78.40
31.946,57.89
32.144,41.98
32.350,29.47
32.547,21.24
32.744,15.55
32.951,11.43
33.147,8.88
33.344,7.07
33.550,5.60
33.745,4.64
33.945,3.90
34.151,3.30
34.346,2.81
34.544,2.42
34.750,2.07
34.946,1.82
35.144,1.57
35.350,1.38
35.546,1.28
35.744,1.10
35.951,0.99
36.145,0.87
36.345,0.81
36.550,0.75
36.746,0.69
36.944,0.66
37.151,0.63
37.345,0.55
37.544,0.53
37.750,0.50
37.946,0.48
38.144,0.44
38.351,0.44
38.545,0.43
38.745,0.39
38.951,0.33
39.145,0.36
39.345,0.33
39.551,0.30
39.745,0.32
39.943,0.29
40.150,0.29
40.346,0.28
40.545,0.29
40.750,0.26
40.945,0.26
41.145,0.23
41.350,0.24
41.545,0.25
41.744,0.21
41.950,0.22
42.146,0.23
42.344,0.19
42.553,0.21
42.746,0.22
42.945,0.22
43.151,0.24
43.347,0.16
43.544,0.19
43.752,0.23
43.946,0.21
44.144,0.21
44.351,0.22
44.546,0.22
44.743,0.16
44.951,0.16
45.146,0.18
45.345,0.19
45.550,0.18
45.746,0.15
45.944,0.19
46.150,0.18
46.345,0.15
46.544,0.18
46.751,0.15
