时间(s),压力(mmHg)
0.126,0.00
0.222,0.00
0.319,0.00
0.415,0.00
0.525,0.00
0.622,0.00
0.074,0.00
0.170,0.00
0.282,0.00
0.378,0.00
0.474,0.00
0.570,0.00
0.681,0.00
0.777,0.00
0.873,0.00
0.969,0.00
1.081,0.00
1.177,0.00
1.272,0.00
1.384,0.00
1.480,0.00
1.575,0.00
1.672,0.00
1.783,0.00
1.879,0.00
1.975,0.00
2.072,0.00
2.183,0.00
2.279,0.00
2.375,0.00
2.471,0.00
2.582,0.00
2.678,0.00
2.774,0.00
2.870,0.00
2.982,0.00
3.078,0.00
3.173,0.00
3.269,0.00
3.381,0.00
3.477,0.00
3.573,0.00
3.668,0.00
3.780,0.00
3.876,0.00
3.973,0.00
4.083,0.00
4.180,0.00
4.276,0.00
4.371,0.00
4.483,0.00
4.579,0.00
4.675,0.00
4.771,0.00
4.882,0.00
4.978,0.00
5.075,0.00
5.186,0.00
5.282,0.00
5.379,0.00
5.474,0.00
5.585,0.00
5.682,0.00
5.777,0.00
5.873,0.00
5.985,0.00
6.081,0.00
6.177,0.00
6.272,0.00
6.385,0.00
6.480,0.00
6.576,0.00
6.673,0.00
6.784,0.00
6.880,0.00
6.975,0.00
7.071,0.00
7.184,0.00
7.279,0.00
7.375,0.00
7.486,0.00
7.583,0.00
7.679,0.00
7.774,0.00
7.886,0.00
7.981,0.00
8.078,0.00
8.173,0.00
8.286,0.00
8.382,0.00
8.477,0.00
8.573,0.00
8.685,0.00
8.780,0.00
8.876,0.00
8.972,0.00
9.084,0.00
9.180,0.00
9.276,0.00
9.372,0.00
9.484,0.00
9.579,0.00
9.675,0.00
9.786,0.00
9.883,0.00
9.978,0.00
10.074,0.00
10.186,0.00
10.283,0.00
10.378,0.00
10.474,0.00
10.586,0.00
10.681,0.00
10.777,0.00
10.874,0.00
10.985,0.00
11.082,0.00
11.176,0.00
11.273,0.00
11.384,0.00
11.480,0.00
11.576,0.00
11.687,0.00
11.784,0.00
11.880,0.00
11.975,0.00
12.087,0.00
12.184,0.00
12.279,0.00
12.375,0.00
12.486,0.00
12.583,0.00
12.679,0.00
12.774,0.00
12.886,0.00
12.982,0.00
13.078,0.00
13.173,0.00
13.285,0.00
13.381,0.00
13.477,0.00
13.573,0.00
13.685,0.00
13.780,0.00
13.877,0.00
13.988,0.00
14.084,0.00
14.180,0.00
14.276,0.00
14.387,0.00
14.484,0.00
14.579,0.00
14.676,0.00
14.787,0.00
14.883,0.00
14.979,0.00
15.074,0.00
15.187,0.00
15.283,0.00
15.379,0.00
15.474,0.00
15.586,0.00
15.682,0.00
15.778,0.00
15.889,0.00
15.985,0.00
16.081,0.00
16.177,0.00
16.289,0.00
16.385,0.00
16.481,0.00
16.577,0.00
16.689,0.00
16.784,0.00
16.880,0.00
16.976,0.00
17.088,0.00
17.184,0.00
17.280,0.00
17.375,0.00
17.487,0.00
17.583,0.00
17.679,0.00
17.790,0.00
17.886,0.00
17.983,0.00
18.078,0.00
18.190,0.00
18.286,0.00
18.382,0.00
18.478,0.00
18.589,0.00
18.685,0.00
18.782,0.00
18.877,0.00
18.989,0.00
19.085,0.00
19.181,0.00
19.277,0.00
19.388,0.00
19.484,0.00
19.580,0.00
19.676,0.00
19.787,0.00
19.884,0.00
19.980,0.00
20.091,0.00
20.187,0.00
20.283,0.00
20.379,0.00
20.490,0.00
20.586,0.00
20.683,0.00
20.779,0.00
20.890,0.00
20.986,0.00
21.082,0.00
21.177,0.00
21.290,0.00
21.385,0.00
21.481,0.00
21.577,0.00
21.689,0.00
21.785,0.00
21.880,1.00
21.976,1.00
22.088,1.00
22.184,0.00
22.281,0.00
22.391,0.00
22.488,0.00
22.584,0.00
22.679,0.00
22.791,0.00
22.888,0.00
22.983,0.00
23.078,0.00
23.193,0.00
23.286,0.00
23.382,0.00
23.478,0.00
23.590,51.00
23.686,283.00
23.782,394.00
23.893,404.00
23.989,405.00
24.085,404.00
24.180,399.00
24.292,393.00
24.388,389.00
24.485,386.00
24.581,384.00
24.692,382.00
24.788,380.00
24.884,378.00
24.980,377.00
25.092,376.00
25.188,375.00
25.283,374.00
25.379,373.00
25.492,372.00
25.586,371.00
25.682,370.00
25.778,368.00
25.891,367.00
25.986,367.00
26.082,366.00
26.193,365.00
26.289,365.00
26.385,364.00
26.482,365.00
26.593,364.00
26.689,364.00
26.785,363.00
26.881,362.00
26.992,362.00
27.089,362.00
27.183,362.00
27.296,362.00
27.392,362.00
27.487,362.00
27.584,362.00
27.695,362.00
27.791,363.00
27.888,362.00
27.983,362.00
28.095,362.00
28.191,362.00
28.287,361.00
28.383,361.00
28.494,361.00
28.590,361.00
28.686,361.00
28.782,361.00
28.894,360.00
28.989,360.00
29.086,360.00
29.196,360.00
29.293,359.00
29.389,358.00
29.485,357.00
29.596,357.00
29.692,356.00
29.788,356.00
29.884,356.00
29.996,357.00
30.092,356.00
30.188,356.00
30.283,356.00
30.395,356.00
30.491,356.00
30.588,355.00
30.683,356.00
30.794,356.00
30.891,356.00
30.986,355.00
31.082,355.00
31.194,355.00
31.290,355.00
31.386,356.00
31.497,356.00
31.594,356.00
31.690,357.00
31.786,356.00
31.897,356.00
31.994,356.00
32.088,0.00
32.185,0.00
32.296,0.00
32.392,0.00
32.488,0.00
32.584,0.00
32.696,0.00
32.792,0.00
32.887,0.00
32.984,0.00
33.095,0.00
33.191,0.00
33.287,0.00
33.383,0.00
33.495,0.00
33.590,0.00
33.687,0.00
33.784,0.00
