时间(s),压力(mmHg)
0.075,0.60
0.275,0.60
0.480,5.55
0.677,17.89
0.875,28.15
1.080,42.01
1.276,51.79
1.475,58.71
1.681,71.18
1.876,77.26
2.075,86.33
2.281,94.85
2.475,102.69
2.675,110.74
2.880,116.73
3.075,125.91
3.274,133.34
3.480,138.84
3.676,146.62
3.875,153.12
4.080,157.86
4.276,163.15
4.474,171.57
4.681,178.49
4.876,181.52
5.073,188.76
5.280,195.95
5.478,201.97
5.674,206.63
5.882,212.67
6.076,216.45
6.274,219.71
6.480,225.19
6.676,232.83
6.874,236.42
7.080,241.72
7.275,245.42
7.473,248.96
7.681,252.39
7.875,251.41
8.074,250.58
8.285,249.81
8.477,249.23
8.674,248.72
8.880,248.25
9.076,247.82
9.274,247.50
9.480,247.16
9.677,246.88
9.875,246.65
10.080,222.19
10.275,159.82
10.474,112.15
10.680,74.11
10.875,48.92
11.074,30.74
11.280,17.42
11.475,9.73
11.673,5.31
11.880,2.94
12.075,1.91
12.273,1.44
12.480,1.23
12.675,1.07
12.873,0.94
13.080,0.71
13.276,0.64
13.474,0.55
13.681,0.43
13.875,0.39
14.074,0.36
14.281,0.28
14.475,0.24
14.674,0.16
14.881,0.19
15.075,0.13
15.273,0.07
15.480,0.08
15.675,0.09
15.874,0.23
16.080,0.39
16.275,0.50
16.475,0.63
16.680,0.71
16.876,0.78
17.073,0.83
17.279,0.91
17.476,0.95
17.674,0.98
17.880,1.06
18.075,1.11
18.273,1.11
18.480,1.17
18.676,1.17
18.874,1.23
19.080,1.24
19.275,1.26
19.474,1.25
19.680,1.27
19.875,1.30
20.073,1.30
20.280,1.29
20.475,1.33
20.673,1.34
20.879,1.35
21.074,1.35
21.274,1.36
21.480,1.36
21.674,1.36
21.874,1.36
22.080,1.37
22.274,1.39
22.474,1.41
22.679,1.41
22.875,1.38
23.073,1.38
23.280,1.40
23.474,1.43
23.674,1.41
23.880,1.43
24.074,1.42
24.273,1.39
24.480,1.41
24.675,1.41
24.873,1.42
25.080,1.40
25.274,1.42
25.473,1.41
25.680,1.38
25.875,1.41
26.073,1.40
26.280,1.42
26.475,1.38
26.673,1.38
26.880,1.39
27.074,1.33
27.273,1.34
27.479,1.39
27.675,1.36
27.873,1.39
28.080,1.36
28.275,1.35
28.473,1.36
28.679,1.35
28.874,1.32
29.073,1.29
29.279,1.36
29.475,1.30
29.673,1.29
29.879,1.35
30.075,1.34
30.274,1.32
30.480,1.32
30.674,1.28
30.874,1.28
31.080,1.29
31.274,1.32
31.473,1.32
31.680,1.32
31.874,1.27
32.073,1.25
32.280,1.28
32.475,1.25
32.673,1.30
32.879,1.29
33.074,1.28
33.273,1.25
33.479,1.28
33.675,1.25
33.872,1.22
34.079,1.23
34.274,1.26
34.473,1.27
34.679,1.22
34.875,1.21
35.073,1.24
