时间(s),压力(mmHg)
0.134,1.11
0.340,1.05
0.536,1.09
0.734,1.10
0.940,1.03
1.135,4.56
1.334,14.88
1.540,29.12
1.735,39.35
1.934,49.32
2.140,58.98
2.335,66.99
2.534,78.46
2.740,85.37
2.935,94.19
3.134,100.53
3.341,110.72
3.535,116.61
3.733,125.32
3.940,131.01
4.135,137.87
4.333,143.14
4.541,151.02
4.734,155.43
4.933,163.95
5.140,171.22
5.336,173.96
5.533,181.00
5.740,179.13
5.935,178.08
6.133,177.28
6.340,176.60
6.535,176.02
6.733,175.57
6.940,175.11
7.135,174.70
7.333,174.35
7.539,174.05
7.735,173.81
7.933,173.56
8.140,173.41
8.335,173.22
8.533,141.18
8.739,92.84
8.979,54.49
9.174,33.35
9.374,19.21
9.579,9.98
9.775,5.26
9.973,2.93
10.180,1.80
10.374,1.32
10.573,1.18
10.779,0.92
10.974,0.74
11.172,0.63
11.380,0.49
11.575,0.41
11.774,0.35
11.980,0.30
12.174,0.21
12.374,0.19
12.581,0.16
12.775,0.13
12.972,0.11
13.179,0.09
13.375,0.14
13.573,0.34
13.780,0.46
13.975,0.63
14.173,0.73
14.380,0.84
14.575,0.92
14.773,1.01
14.980,1.03
15.175,1.14
15.372,1.16
15.580,1.24
15.774,1.28
15.973,1.29
16.180,1.35
16.374,1.37
16.573,1.40
16.780,1.39
16.974,1.43
17.173,1.46
17.380,1.46
17.574,1.47
17.775,1.50
17.979,1.52
18.174,1.51
18.373,1.52
18.579,1.55
18.774,1.51
18.973,1.48
19.180,1.51
19.374,1.52
19.572,1.52
19.779,1.52
19.975,1.54
20.173,1.51
20.379,1.55
20.574,1.53
20.773,1.51
20.979,1.53
21.175,1.52
