时间(s),压力(mmHg)
0.074,-0.01
0.279,-0.04
0.475,-0.04
0.673,-0.03
0.880,-0.05
1.074,0.00
1.273,-0.06
1.480,-0.03
1.674,-0.06
1.873,-0.01
2.079,0.78
2.274,1.51
2.473,1.82
2.680,1.74
2.874,1.65
3.073,3.54
3.280,8.22
3.475,12.83
3.673,17.06
3.881,22.37
4.075,28.11
4.273,34.42
4.479,41.78
4.674,48.99
4.873,56.86
5.079,65.90
5.274,74.43
5.473,82.98
5.679,92.01
5.874,100.28
6.072,108.49
6.279,117.01
6.475,124.72
6.673,132.26
6.881,140.22
7.074,147.44
7.273,154.45
7.479,161.85
7.676,168.59
7.872,175.11
8.080,182.14
8.274,188.45
8.473,194.73
8.679,201.33
8.875,207.40
9.072,213.52
9.279,219.90
9.475,225.79
9.673,231.55
9.880,237.67
10.075,243.29
10.273,248.86
10.479,254.75
10.675,260.13
10.873,265.51
11.079,269.20
11.275,269.39
11.474,269.50
11.679,269.54
11.874,269.53
12.072,269.63
12.280,269.52
12.474,269.58
12.672,269.68
12.880,269.67
13.075,269.68
13.272,269.64
13.479,269.67
13.674,269.71
13.872,269.77
14.079,269.66
14.274,269.78
14.473,269.70
14.679,269.77
14.874,269.68
15.073,269.78
15.278,269.71
15.474,269.77
15.673,269.79
15.879,269.72
16.074,269.76
16.273,269.80
16.479,269.72
16.674,269.76
16.873,269.78
17.079,269.69
17.274,269.83
17.472,269.75
17.680,269.79
17.875,269.74
18.072,269.80
18.280,269.77
18.474,269.74
18.672,269.74
18.881,269.77
19.074,269.72
19.272,269.80
19.479,269.81
19.676,269.74
19.872,269.80
20.079,269.74
20.275,269.79
20.472,269.78
20.679,269.74
20.874,269.73
21.073,269.77
21.278,269.72
21.473,269.78
21.672,269.78
21.879,269.76
22.074,269.75
22.272,263.42
22.479,231.31
22.673,194.34
22.872,154.87
23.079,115.88
23.274,85.93
23.473,62.47
23.679,43.82
23.873,31.36
24.072,22.45
24.279,15.85
24.474,11.68
24.672,8.92
24.880,6.86
25.074,5.48
25.272,4.41
25.479,3.53
25.674,2.96
25.873,2.52
26.079,2.10
26.274,1.80
26.472,1.59
26.678,1.37
26.874,1.19
27.073,1.07
27.279,0.93
27.474,0.84
27.673,0.75
27.878,0.69
28.073,0.60
28.273,0.55
28.479,0.53
28.673,0.49
28.872,0.43
29.078,0.38
29.273,0.35
29.473,0.37
29.679,0.34
29.873,0.29
30.071,0.28
30.279,0.26
30.475,0.26
30.672,0.25
30.878,0.23
31.073,0.20
31.272,0.19
31.478,0.18
31.675,0.17
31.872,0.15
32.079,0.15
32.273,0.16
32.472,0.12
32.679,0.15
32.873,0.14
33.072,0.14
33.278,0.12
33.473,0.11
33.672,0.10
33.879,0.10
34.073,0.11
34.271,0.09
34.478,0.06
34.674,0.08
34.871,0.10
35.078,0.09
35.273,0.07
35.472,0.12
35.679,0.07
35.873,0.08
36.072,0.08
36.279,0.06
36.473,0.06
36.672,0.06
36.878,0.02
37.073,0.04
37.272,0.03
