时间(s),压力(mmHg)
0.123,0.01
0.321,0.04
0.528,0.04
0.723,0.01
0.921,0.06
1.127,0.03
1.322,0.07
1.521,0.06
1.727,-0.02
1.923,0.04
2.121,0.05
2.327,-0.01
2.522,0.02
2.721,0.59
2.928,1.54
3.123,1.72
3.322,1.65
3.527,1.72
3.722,3.68
3.921,8.39
4.128,13.39
4.368,19.16
4.562,24.71
4.761,31.11
4.967,38.62
5.163,46.07
5.362,54.23
5.568,63.75
5.763,72.75
5.960,81.72
6.167,91.27
6.362,99.89
6.561,108.43
6.768,117.43
6.963,125.58
7.161,133.69
7.367,142.22
7.562,149.95
7.762,157.56
7.968,165.62
8.163,173.04
8.362,180.24
8.568,187.82
8.763,194.87
8.961,201.77
9.168,209.04
9.363,215.79
9.560,222.27
9.767,229.28
9.962,235.66
10.161,241.89
10.367,248.56
10.562,254.64
10.760,260.52
10.967,266.80
11.162,272.53
11.361,278.15
11.568,284.07
11.762,289.54
11.960,294.80
12.168,300.41
12.362,305.60
12.562,310.62
12.768,315.97
12.962,320.94
13.161,325.54
13.368,330.41
13.563,334.96
13.760,339.51
13.967,344.26
14.162,348.19
14.361,349.13
14.567,349.58
14.762,349.62
14.961,349.79
15.167,349.69
15.362,349.92
15.560,349.65
15.766,350.02
15.962,349.69
16.160,350.00
16.367,349.80
16.562,350.00
16.760,349.74
16.967,349.98
17.162,349.76
17.360,349.95
17.566,349.86
17.762,349.81
17.961,349.80
18.171,349.90
18.362,350.03
18.561,349.83
18.767,349.80
18.961,349.82
19.160,349.78
19.367,349.75
19.562,350.03
19.761,350.07
19.967,349.89
20.162,349.84
20.360,349.79
20.567,349.89
20.762,349.75
20.960,349.84
21.167,349.88
21.362,349.79
21.560,349.84
21.766,349.81
21.962,349.84
22.161,349.82
22.366,349.76
22.562,349.79
22.760,349.94
22.967,349.84
23.162,349.83
23.360,349.90
23.567,349.89
23.761,349.85
23.960,349.88
24.167,349.87
24.362,349.83
24.560,349.76
24.766,349.88
24.961,349.85
25.162,349.83
25.366,349.80
25.561,348.07
25.761,331.74
25.967,304.05
26.161,273.86
26.361,240.05
26.567,200.35
26.761,161.94
26.961,127.07
27.168,95.41
27.406,66.62
27.601,48.62
27.800,35.02
28.007,24.53
28.203,17.82
28.400,13.22
28.608,9.91
28.801,7.82
29.000,6.25
29.206,5.03
29.402,4.21
29.601,3.56
29.806,2.97
30.002,2.54
30.201,2.21
30.406,1.90
30.602,1.66
30.800,1.42
31.006,1.23
31.202,1.14
31.401,0.97
31.606,0.90
31.801,0.81
32.000,0.71
32.207,0.68
32.402,0.65
32.600,0.56
32.807,0.51
33.001,0.49
33.201,0.45
33.406,0.42
33.601,0.37
33.800,0.37
34.006,0.36
34.202,0.33
34.400,0.36
34.606,0.30
34.802,0.29
34.999,0.21
35.207,0.25
35.401,0.24
35.600,0.23
35.807,0.22
36.001,0.21
36.200,0.22
36.406,0.17
36.601,0.17
36.800,0.18
37.007,0.16
37.201,0.17
37.400,0.19
37.607,0.15
37.803,0.15
38.000,0.12
38.206,0.16
38.400,0.15
38.600,0.09
38.806,0.14
39.001,0.17
39.201,0.10
39.406,0.15
39.601,0.11
39.801,0.15
40.006,0.13
40.201,0.13
40.400,0.06
40.606,0.16
40.801,0.08
41.000,0.14
41.206,0.13
41.401,0.09
41.601,0.15
41.806,0.11
42.001,0.10
42.200,0.14
42.406,0.09
42.602,0.08
42.799,0.11
43.006,0.11
43.201,0.12
43.399,0.09
43.606,0.11
43.801,0.12
44.000,0.05
44.205,0.12
44.401,0.10
44.599,0.07
44.807,0.09
45.001,0.08
45.199,0.09
45.406,0.09
45.601,0.07
45.799,0.07
46.007,0.07
46.202,0.07
46.399,0.07
46.606,0.08
