时间(s),压力(mmHg)
0.108,0.07
0.348,0.04
0.543,0.06
0.741,0.02
0.948,0.03
1.143,0.03
1.341,0.02
1.547,0.02
1.744,0.05
1.942,0.02
2.148,0.03
2.343,0.04
2.541,0.06
2.748,0.05
2.943,0.01
3.141,0.01
3.347,0.03
3.543,0.02
3.742,0.04
3.948,0.01
4.143,0.01
4.341,0.02
4.548,0.04
4.744,0.02
4.941,0.05
5.148,0.03
5.343,0.03
5.541,0.02
5.748,0.01
5.944,0.04
6.142,0.03
6.347,0.03
6.544,0.04
6.741,0.05
6.948,0.03
7.144,0.03
7.341,0.05
7.547,0.01
7.743,0.04
7.941,0.06
8.147,1.78
8.342,2.49
8.541,3.11
8.748,3.86
8.943,5.09
9.141,6.84
9.348,9.59
9.543,12.72
9.743,16.42
9.950,20.98
10.142,26.03
10.341,31.55
10.547,38.15
10.742,44.64
10.941,51.44
11.148,59.58
11.342,67.38
11.541,75.12
11.747,83.55
11.942,91.11
12.141,98.63
12.348,106.54
12.589,115.53
12.782,122.63
12.981,129.60
13.188,136.80
13.383,143.55
13.580,150.07
13.788,156.87
13.983,163.17
14.181,169.32
14.387,175.87
14.583,179.14
14.782,179.42
14.987,179.49
15.183,179.57
15.381,179.61
15.587,179.62
15.782,179.58
15.981,179.70
16.187,179.77
16.382,179.69
16.581,179.73
16.788,179.70
16.982,179.79
17.181,179.77
17.387,179.79
17.582,179.77
17.781,179.83
17.988,179.83
18.182,179.72
18.381,179.73
18.587,179.79
18.783,179.79
18.981,179.78
19.188,179.77
19.382,179.86
19.581,179.84
19.787,179.81
19.982,179.83
20.180,179.76
20.387,179.90
20.582,179.83
20.780,179.88
20.988,179.80
21.183,179.89
21.380,179.77
21.587,179.86
21.782,179.83
21.980,179.83
22.187,179.87
22.382,179.75
22.581,179.82
22.787,179.86
22.982,179.79
23.181,179.88
23.388,179.83
23.582,179.77
23.781,179.77
23.987,179.83
24.182,179.79
24.382,179.80
24.587,179.75
24.782,179.85
24.981,179.87
25.187,179.78
25.383,179.83
25.581,179.88
25.787,171.47
25.982,138.55
26.180,104.41
26.387,73.70
26.581,51.82
26.780,35.68
26.987,23.71
27.182,16.41
27.380,11.75
27.587,8.59
27.827,6.38
28.022,5.06
28.220,4.06
28.427,3.27
28.622,2.71
28.820,2.29
29.026,1.89
29.222,1.66
29.420,1.42
29.626,1.26
29.822,1.08
30.020,0.96
30.227,0.85
30.422,0.78
30.620,0.75
30.826,0.68
31.021,0.60
31.222,0.57
31.426,0.54
31.623,0.50
31.821,0.45
32.027,0.44
32.221,0.40
32.421,0.39
32.626,0.34
32.821,0.36
33.021,0.31
33.227,0.28
33.421,0.28
33.621,0.31
33.827,0.25
34.022,0.24
34.221,0.25
34.428,0.24
34.621,0.23
34.821,0.23
35.027,0.23
35.221,0.21
35.420,0.17
35.627,0.18
35.822,0.16
36.020,0.15
36.226,0.16
36.422,0.16
36.620,0.17
36.826,0.14
37.021,0.13
37.220,0.14
37.426,0.16
37.623,0.16
37.821,0.15
38.027,0.14
38.222,0.10
38.420,0.10
38.626,0.14
38.821,0.10
39.021,0.11
39.227,0.11
39.421,0.12
39.620,0.13
39.826,0.11
40.021,0.10
40.220,0.13
40.427,0.11
40.622,0.13
40.820,0.11
41.026,0.09
41.221,0.10
41.420,0.12
41.626,0.11
41.822,0.11
42.020,0.12
42.226,0.09
42.421,0.10
42.620,0.10
42.826,0.09
43.021,0.08
43.222,0.11
43.426,0.11
43.622,0.08
43.820,0.07
44.026,0.07
44.221,0.08
44.420,0.06
44.626,0.06
44.821,0.07
45.020,0.05
45.226,0.04
45.421,0.08
45.620,0.07
45.826,0.06
46.021,0.04
46.219,0.06
46.427,0.05
46.621,0.00
46.820,0.05
47.026,0.05
47.221,0.07
47.420,0.04
47.627,0.08
47.821,0.05
48.019,0.08
48.226,0.03
48.421,0.07
48.619,0.03
48.826,0.07
49.022,0.08
49.219,0.04
49.428,0.02
49.621,0.03
49.820,0.03
50.025,0.04
50.221,0.02
50.420,0.02
50.626,0.05
50.821,0.04
51.020,0.02
51.226,-0.01
51.422,0.04
51.620,0.02
51.826,0.01
52.021,0.02
52.220,0.04
52.425,0.02
52.621,0.03
52.819,0.06
53.025,0.03
53.221,0.03
53.420,0.01
53.626,0.01
53.820,0.05
54.019,0.02
54.225,0.02
54.420,0.02
54.619,0.04
